Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,TPM,TPA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
45,45,2009-01-28,35-311,DAL,,GSW,W (+24),1,32:34,1,4,.250,0,1,.000,1,2,.500,0,7,7,9,2,2,3,1,3,8.6,+25
46,46,2009-01-31,35-314,DAL,@,MIA,W (+15),1,34:36,3,5,.600,1,1,1.000,0,0,,0,5,5,11,2,0,2,1,7,13.5,+22
47,47,2009-02-02,35-316,DAL,@,ORL,W (+10),1,35:59,6,9,.667,1,3,.333,0,0,,1,4,5,8,4,1,5,2,13,15.5,+16
48,48,2009-02-04,35-318,DAL,,POR,W (+5),1,34:18,3,5,.600,1,3,.333,0,0,,2,5,7,10,1,2,2,1,7,14.6,+10
49,49,2009-02-05,35-319,DAL,@,UTA,L (-28),1,28:57,2,6,.333,1,4,.250,2,2,1.000,1,0,1,8,1,1,0,3,7,10.4,-16
50,50,2009-02-07,35-321,DAL,,CHI,W (+1),1,39:41,2,4,.500,1,2,.500,0,0,,0,5,5,10,2,2,2,4,5,11.3,-9
51,51,2009-02-10,35-324,DAL,,SAC,W (+18),1,35:33,6,10,.600,3,5,.600,0,0,,1,6,7,12,4,0,3,2,15,21.5,+39
52,52,2009-02-12,35-326,DAL,,BOS,L (-7),1,41:38,1,8,.125,1,4,.250,0,0,,2,4,6,10,2,0,1,4,3,6.8,-9
53,53,2009-02-18,35-332,DAL,,NJN,W (+15),1,40:02,7,10,.700,5,6,.833,4,6,.667,0,3,3,10,1,1,2,2,23,24.8,+21
54,54,2009-02-20,35-334,DAL,@,HOU,L (-7),1,38:50,1,4,.250,1,2,.500,0,0,,2,6,8,5,4,0,0,1,3,10.9,-11
55,55,2009-02-21,35-335,DAL,,SAC,W (+21),1,24:58,5,6,.833,1,1,1.000,0,0,,1,3,4,11,1,0,3,0,11,16.1,+25
56,56,2009-02-24,35-338,DAL,@,SAS,L (-17),1,34:48,1,5,.200,0,3,.000,0,0,,2,4,6,4,2,1,1,2,2,5.2,-19
57,57,2009-02-25,35-339,DAL,,MIL,W (+20),1,33:16,6,7,.857,2,2,1.000,5,5,1.000,0,5,5,9,1,1,6,1,19,19.6,+23
58,58,2009-02-27,35-341,DAL,,OKC,W (+2),1,41:57,2,8,.250,2,6,.333,4,4,1.000,0,5,5,13,4,1,1,4,10,17.9,+7
59,59,2009-03-01,35-343,DAL,,TOR,W (+11),1,34:23,3,7,.429,1,2,.500,2,2,1.000,1,5,6,15,0,1,1,2,9,16.9,+24
60,60,2009-03-02,35-344,DAL,@,OKC,L (-9),1,40:59,4,8,.500,0,3,.000,1,2,.500,2,3,5,5,6,0,3,3,9,12.2,-5
61,61,2009-03-04,35-346,DAL,,SAS,W (+5),1,36:47,6,10,.600,3,5,.600,2,2,1.000,0,7,7,9,0,0,3,3,17,16.6,+12
