Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,TPM,TPA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
40,36,2014-01-20,32-309,ATL,,MIA,W (+7),1,39:14,3,10,.300,3,9,.333,3,3,1.000,1,6,7,6,2,0,3,4,12,10.3,+15
41,37,2014-01-22,32-311,ATL,@,ORL,W (+3),1,35:51,5,11,.455,2,5,.400,0,0,,0,5,5,7,1,1,0,2,12,13.6,+9
42,38,2014-01-24,32-313,ATL,,SAS,L (-26),1,25:49,1,3,.333,1,2,.500,0,0,,0,4,4,0,1,0,1,3,3,1.3,-10
43,39,2014-01-25,32-314,ATL,@,MIL,W (+25),1,25:55,3,7,.429,3,4,.750,3,3,1.000,0,3,3,2,1,0,0,1,12,11.2,+26
44,40,2014-01-27,32-316,ATL,@,OKC,L (-2),1,34:48,5,9,.556,3,7,.429,1,1,1.000,1,2,3,4,0,0,1,1,14,12.4,+6
45,41,2014-01-31,32-320,ATL,@,PHI,W (+26),1,26:48,3,4,.750,3,4,.750,2,2,1.000,0,3,3,1,1,0,3,1,11,8.6,+22
46,42,2014-02-01,32-321,ATL,,MIN,W (+7),1,35:57,7,9,.778,3,5,.600,7,8,.875,0,4,4,3,0,1,1,1,24,22.7,+9
47,43,2014-02-04,32-324,ATL,,IND,L (-4),1,31:34,4,9,.444,1,5,.200,0,0,,0,4,4,3,1,0,0,3,9,7.4,-2
48,44,2014-02-05,32-325,ATL,@,NOP,L (-5),1,33:28,2,6,.333,2,5,.400,0,0,,0,2,2,1,1,0,0,1,6,4.5,-6
49,45,2014-02-08,32-328,ATL,,MEM,L (-3),1,38:34,3,9,.333,3,6,.500,0,0,,2,2,4,4,0,1,5,1,9,4.0,+14
50,46,2014-02-11,32-331,ATL,@,CHI,L (-15),1,35:21,2,7,.286,2,4,.500,1,1,1.000,0,3,3,4,1,1,0,0,7,8.3,-12
51,47,2014-02-12,32-332,ATL,@,TOR,L (-21),1,26:36,3,7,.429,2,4,.500,0,0,,1,3,4,2,2,0,1,3,8,7.1,-5
52,48,2014-02-18,32-338,ATL,@,IND,L (-10),1,33:04,7,10,.700,5,7,.714,0,0,,1,3,4,5,1,0,3,3,19,16.7,-15
53,49,2014-02-19,32-339,ATL,,WAS,L (-17),1,33:54,4,5,.800,2,3,.667,0,0,,0,2,2,4,0,0,2,1,10,9.1,-17
54,50,2014-02-21,32-341,ATL,@,DET,L (-8),1,37:35,4,10,.400,2,6,.333,1,2,.500,1,6,7,4,3,0,3,4,11,8.9,-7
55,51,2014-02-22,32-342,ATL,,NYK,W (+9),1,27:38,2,8,.250,2,4,.500,1,1,1.000,0,5,5,1,0,1,1,3,7,2.9,-10
56,52,2014-02-25,32-345,ATL,,CHI,L (-4),1,38:48,4,10,.400,4,9,.444,4,4,1.000,0,7,7,3,2,0,2,4,16,13.2,+5
57,53,2014-02-26,32-346,ATL,@,BOS,L (-11),1,31:17,6,9,.667,4,5,.800,1,1,1.000,0,2,2,1,1,0,1,4,17,12.8,-4
58,54,2014-03-02,32-350,ATL,@,PHO,L (-9),1,37:03,6,10,.600,6,7,.857,0,0,,1,3,4,3,1,1,1,3,18,16.6,+16
59,55,2014-03-05,32-353,ATL,@,POR,L (-24),1,28:01,1,9,.111,0,5,.000,3,3,1.000,0,2,2,3,0,1,0,1,5,2.1,-18
60,56,2014-03-07,32-355,ATL,@,GSW,L (-14),1,25:21,3,7,.429,1,5,.200,0,0,,0,0,0,2,1,0,0,2,7,4.9,-7
61,57,2014-03-08,32-356,ATL,@,LAC,L (-1),1,34:32,6,7,.857,3,3,1.000,2,2,1.000,0,4,4,6,2,0,2,4,17,18.3,+2
62,58,2014-03-10,32-358,ATL,@,UTA,W (+2),1,32:30,8,12,.667,4,4,1.000,6,6,1.000,0,2,2,1,2,0,1,3,26,21.9,-2
63,59,2014-03-13,32-361,ATL,,MIL,W (+5),1,35:27,4,6,.667,3,5,.600,4,4,1.000,0,2,2,1,2,0,1,1,15,14.3,+3
64,60,2014-03-15,32-363,ATL,,DEN,W (+5),1,36:56,6,8,.750,4,4,1.000,2,2,1.000,0,4,4,1,1,0,1,2,18,15.9,+19
