Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,TPM,TPA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
40,40,1998-01-21,30-238,CHH,@,CHI,L (-31),1,36:37,4,18,.222,1,4,.250,1,2,.500,3,3,6,2,1,0,4,1,10,-0.4,-30
41,41,1998-01-22,30-239,CHH,,HOU,W (+7),1,41:48,8,17,.471,0,4,.000,3,4,.750,3,1,4,4,3,0,1,2,19,16.3,+6
42,42,1998-01-24,30-241,CHH,@,DAL,W (+2),1,44:28,10,22,.455,2,7,.286,7,7,1.000,1,5,6,3,0,1,3,3,29,18.4,+4
43,43,1998-01-27,30-244,CHH,,PHO,W (+7),1,48:57,15,29,.517,3,6,.500,9,12,.750,3,3,6,2,1,0,3,2,42,28.1,+13
44,44,1998-01-30,30-247,CHH,@,BOS,W (+2),1,39:56,5,15,.333,1,2,.500,3,4,.750,1,5,6,3,0,0,3,0,14,6.4,-3
45,45,1998-01-31,30-248,CHH,,ATL,L (-20),1,40:26,4,15,.267,0,3,.000,11,12,.917,1,2,3,2,1,0,4,1,19,9.0,-11
46,46,1998-02-03,30-251,CHH,,BOS,W (+4),1,38:31,3,9,.333,0,1,.000,8,8,1.000,1,3,4,3,0,0,3,1,14,9.2,+12
47,47,1998-02-05,30-253,CHH,,VAN,W (+15),1,29:21,12,18,.667,2,6,.333,4,4,1.000,1,5,6,2,1,0,0,3,30,25.6,+17
48,48,1998-02-10,30-258,CHH,@,NYK,L (-8),1,37:05,3,13,.231,0,3,.000,6,6,1.000,1,2,3,4,3,0,3,2,12,7.4,-8
49,49,1998-02-11,30-259,CHH,,CHI,L (-2),1,41:54,9,21,.429,2,3,.667,9,11,.818,3,2,5,0,2,1,2,3,29,19.3,-1
50,50,1998-02-13,30-261,CHH,,PHI,W (+7),1,46:46,14,27,.519,4,9,.444,8,8,1.000,2,1,3,4,0,0,1,0,40,30.2,+11
51,51,1998-02-16,30-264,CHH,@,UTA,L (-6),1,42:08,10,25,.400,3,6,.500,7,9,.778,0,4,4,4,2,0,1,2,30,19.9,-8
52,52,1998-02-18,30-266,CHH,@,GSW,L (-11),1,45:33,11,27,.407,1,7,.143,8,10,.800,4,3,7,1,0,0,4,2,31,15.3,-12
53,53,1998-02-20,30-268,CHH,@,PHO,L (-16),1,40:21,2,12,.167,0,4,.000,6,6,1.000,0,2,2,3,1,0,3,3,10,1.9,-16
54,54,1998-02-21,30-269,CHH,@,LAC,W (+13),1,43:30,6,15,.400,1,4,.250,10,11,.909,2,10,12,0,1,0,2,3,23,16.7,+11
55,55,1998-02-23,30-271,CHH,@,DEN,W (+20),1,38:57,11,16,.688,5,6,.833,4,6,.667,1,2,3,0,1,0,1,3,31,23.5,+23
56,56,1998-02-25,30-273,CHH,@,DET,W (+10),1,40:42,12,18,.667,3,3,1.000,6,7,.857,0,1,1,2,0,0,1,3,33,24.3,+16
57,57,1998-02-28,30-276,CHH,,ORL,W (+10),1,43:01,5,15,.333,0,1,.000,7,8,.875,1,3,4,2,1,0,3,3,17,7.9,+10
58,58,1998-03-02,30-278,CHH,,GSW,W (+29),1,32:46,3,11,.273,1,3,.333,2,2,1.000,1,1,2,0,2,0,2,3,9,2.3,+11
