Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,TPM,TPA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
56,56,1998-02-27,37-205,SEA,,ATL,W (+2),0,27:13,4,8,.500,2,4,.500,0,0,,0,3,3,0,1,0,3,0,10,4.9,+1
57,57,1998-03-01,37-207,SEA,,PHO,W (+2),0,29:43,3,6,.500,2,3,.667,0,0,,2,0,2,0,1,0,2,0,8,5.4,+1
58,58,1998-03-03,37-209,SEA,@,MIA,W (+6),0,21:52,5,8,.625,2,2,1.000,0,0,,0,2,2,0,0,0,0,0,12,9.0,-7
59,59,1998-03-04,37-210,SEA,@,ORL,L (-13),0,24:10,3,5,.600,0,1,.000,2,2,1.000,1,1,2,0,1,1,1,4,8,5.8,+5
60,60,1998-03-06,37-212,SEA,@,CHH,L (-6),0,23:15,2,6,.333,1,3,.333,0,0,,1,1,2,1,2,0,2,4,5,1.7,-8
61,61,1998-03-08,37-214,SEA,@,MIN,W (+1),0,33:28,3,8,.375,3,5,.600,4,6,.667,1,3,4,4,2,1,0,0,13,14.9,+12
62,62,1998-03-10,37-216,SEA,,TOR,W (+18),0,22:48,5,10,.500,3,5,.600,5,8,.625,0,1,1,0,0,0,0,3,18,10.9,+4
63,63,1998-03-14,37-220,SEA,,MIN,W (+34),0,21:03,6,7,.857,1,1,1.000,1,2,.500,0,2,2,2,1,0,1,2,14,12.3,+23
64,64,1998-03-16,37-222,SEA,,LAL,W (+12),0,20:10,3,5,.600,2,2,1.000,1,1,1.000,0,2,2,1,0,0,0,1,9,7.6,+1
65,65,1998-03-18,37-224,SEA,,LAC,W (+19),0,28:34,9,12,.750,3,6,.500,2,4,.500,0,3,3,0,0,0,2,1,23,15.9,+24
66,66,1998-03-20,37-226,SEA,@,LAL,L (-13),0,21:48,6,9,.667,2,2,1.000,2,2,1.000,1,2,3,0,0,0,1,0,16,12.4,-13
67,67,1998-03-21,37-227,SEA,@,PHO,L (-7),0,29:44,3,8,.375,2,4,.500,3,4,.750,1,1,2,0,0,0,1,4,11,4.6,+10
68,68,1998-03-23,37-229,SEA,,SAC,W (+26),0,14:47,1,5,.200,0,2,.000,0,0,,0,0,0,2,1,0,0,1,2,0.9,-7
69,69,1998-03-25,37-231,SEA,,WAS,W (+24),0,22:09,5,9,.556,2,5,.400,0,0,,3,3,6,0,0,0,1,2,12,8.9,+6
70,70,1998-03-26,37-232,SEA,@,GSW,L (-7),0,27:37,4,11,.364,1,3,.333,2,4,.500,1,1,2,0,1,0,0,2,11,5.3,+7
71,71,1998-03-28,37-234,SEA,,NYK,W (+26),0,19:16,3,10,.300,1,5,.200,0,0,,1,1,2,2,1,0,2,0,7,2.6,+11
72,72,1998-03-31,37-237,SEA,,UTA,W (+2),0,23:03,1,5,.200,1,2,.500,4,5,.800,0,0,0,3,0,0,3,1,7,2.2,-5
73,73,1998-04-02,37-239,SEA,,DAL,W (+21),0,24:06,5,11,.455,2,5,.400,0,0,,0,3,3,6,0,0,0,2,12,10.6,+7
74,74,1998-04-03,37-240,SEA,@,VAN,W (+40),0,27:02,7,11,.636,2,4,.500,0,0,,2,1,3,4,3,0,2,0,16,16.6,+14
75,75,1998-04-05,37-242,SEA,@,DEN,W (+4),0,18:46,3,10,.300,0,5,.000,0,0,,1,1,2,1,0,0,1,3,6,-0.3,+1
76,76,1998-04-06,37-243,SEA,,PHO,L (-10),0,21:07,1,9,.111,1,4,.250,0,0,,1,0,1,1,0,0,0,3,3,-2.7,-8
77,77,1998-04-09,37-246,SEA,@,DAL,W (+2),0,24:28,6,12,.500,3,6,.500,1,1,1.000,0,1,1,0,1,0,1,1,16,9.9,+3
78,78,1998-04-10,37-247,SEA,@,SAS,L (-15),0,22:08,3,9,.333,2,3,.667,0,0,,0,1,1,0,0,0,1,0,8,2.2,-1
79,79,1998-04-12,37-249,SEA,,HOU,W (+8),0,16:20,2,5,.400,1,3,.333,1,1,1.000,0,1,1,1,1,0,1,2,6,3.5,-1
80,,1998-04-14,37-251,SEA,,VAN,W (+12),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
1,1,1999-02-05,38-183,SEA,,DAL,W (+6),0,23:55,3,8,.375,2,5,.400,1,1,1.000,1,3,4,1,1,0,0,1,9,7.5,+4
2,2,1999-02-07,38-185,SEA,,POR,W (+3),0,22:28,2,7,.286,2,5,.400,2,2,1.000,0,2,2,0,1,0,0,2,8,4.7,+6
3,3,1999-02-09,38-187,SEA,,GSW,W (+19),0,19:35,5,8,.625,1,1,1.000,2,2,1.000,0,3,3,1,0,0,2,0,13,9.0,+9
4,4,1999-02-10,38-188,SEA,@,GSW,W (+7),0,27:13,4,8,.500,3,6,.500,5,6,.833,0,3,3,0,2,0,1,2,16,12.7,+10
5,5,1999-02-13,38-191,SEA,,DEN,W (+13),0,25:03,6,9,.667,5,5,1.000,0,0,,1,3,4,1,1,0,0,4,17,14.8,+17
6,6,1999-02-16,38-194,SEA,,UTA,W (+15),0,32:37,4,8,.500,1,4,.250,2,4,.500,1,2,3,2,1,0,1,0,11,8.9,+17
7,7,1999-02-17,38-195,SEA,,SAC,L (-3),0,28:53,1,6,.167,1,2,.500,0,0,,2,5,7,0,1,0,0,2,3,2.3,+8
8,8,1999-02-20,38-198,SEA,@,UTA,L (-30),0,17:13,0,3,.000,0,1,.000,0,1,.000,0,0,0,2,0,0,1,1,0,-2.5,-13
9,9,1999-02-21,38-199,SEA,,LAL,W (+3),0,20:33,0,5,.000,0,3,.000,0,0,,1,0,1,1,0,0,2,1,0,-4.5,-7
10,10,1999-02-23,38-201,SEA,@,HOU,L (-12),0,29:14,4,9,.444,1,4,.250,3,4,.750,2,1,3,0,0,0,1,2,12,6.8,-13
11,11,1999-02-24,38-202,SEA,@,SAS,L (-18),1,27:15,3,8,.375,0,5,.000,2,4,.500,0,0,0,0,0,1,0,1,8,3.1,-9
12,12,1999-02-26,38-204,SEA,,SAS,W (+10),1,26:29,5,8,.625,3,4,.750,0,0,,1,1,2,1,0,0,1,2,13,9.3,+15
13,13,1999-03-01,38-207,SEA,@,SAC,W (+3),0,19:04,2,6,.333,0,3,.000,1,2,.500,0,1,1,1,0,0,2,1,5,-0.2,+1
14,14,1999-03-04,38-210,SEA,,PHO,L (-8),0,24:08,6,11,.545,3,4,.750,0,0,,1,1,2,0,0,0,2,0,15,8.7,-6
15,15,1999-03-05,38-211,SEA,@,LAL,L (-3),0,29:26,7,10,.700,5,5,1.000,1,1,1.000,0,0,0,0,1,0,0,1,20,16.4,+1
16,16,1999-03-07,38-213,SEA,,MIN,L (-11),0,27:00,5,13,.385,2,7,.286,0,0,,2,3,5,2,0,1,0,5,12,7.3,-10
17,17,1999-03-09,38-215,SEA,@,MIN,L (-1),0,24:49,5,11,.455,4,6,.667,0,0,,1,4,5,0,0,0,0,1,14,9.8,+19
18,18,1999-03-10,38-216,SEA,@,MIL,L (-4),0,29:05,5,13,.385,2,6,.333,5,6,.833,1,3,4,0,0,0,1,2,17,9.3,+1
19,19,1999-03-11,38-217,SEA,@,CHI,W (+9),0,24:01,1,1,1.000,1,1,1.000,0,0,,0,1,1,1,1,0,1,1,3,3.3,+2
20,20,1999-03-14,38-220,SEA,,LAC,W (+19),1,30:38,6,8,.750,3,4,.750,2,2,1.000,0,2,2,4,3,0,0,1,17,19.8,+15
21,21,1999-03-16,38-222,SEA,,VAN,W (+2),1,37:54,4,11,.364,3,6,.500,3,4,.750,0,1,1,6,1,0,2,1,14,10.6,+2
22,22,1999-03-19,38-225,SEA,@,GSW,L (-12),1,26:14,0,8,.000,0,6,.000,8,8,1.000,0,1,1,1,0,0,2,0,8,1.4,0
23,23,1999-03-21,38-227,SEA,@,DEN,L (-4),0,29:30,5,13,.385,4,7,.571,1,2,.500,1,3,4,3,0,0,1,2,15,9.4,+4
24,24,1999-03-22,38-228,SEA,,PHI,W (+16),0,24:44,5,9,.556,1,3,.333,0,0,,0,1,1,1,0,0,1,0,11,6.7,+16
25,25,1999-03-24,38-230,SEA,,WAS,L (-4),0,29:43,4,11,.364,1,6,.167,0,0,,0,3,3,0,0,0,1,4,9,1.2,-5
26,26,1999-03-26,38-232,SEA,,LAC,W (+6),0,30:14,7,13,.538,3,7,.429,3,3,1.000,0,2,2,1,0,0,2,1,20,12.6,+1
27,27,1999-03-28,38-234,SEA,@,DET,L (-17),0,19:23,2,7,.286,2,5,.400,0,0,,0,2,2,1,0,0,1,1,6,1.8,-6
28,28,1999-03-29,38-235,SEA,@,DAL,W (+8),0,22:32,4,11,.364,2,7,.286,0,0,,0,1,1,1,0,0,0,1,10,4.5,+1
29,29,1999-03-30,38-236,SEA,@,SAS,L (-8),0,26:27,4,11,.364,2,6,.333,4,6,.667,0,3,3,0,3,0,2,1,14,8.6,-10
30,30,1999-04-01,38-238,SEA,@,DEN,L (-3),0,27:41,5,8,.625,2,5,.400,0,0,,0,3,3,0,0,0,1,2,12,7.5,+5
31,31,1999-04-02,38-239,SEA,@,POR,L (-12),0,21:21,2,7,.286,1,5,.200,0,0,,1,0,1,1,0,0,1,3,5,0.1,-8
32,32,1999-04-04,38-241,SEA,,HOU,W (+17),0,21:03,1,3,.333,0,2,.000,0,0,,0,1,1,0,0,0,0,1,2,0.2,+5
33,33,1999-04-06,38-243,SEA,,SAC,L (-6),0,36:23,6,14,.429,5,9,.556,0,0,,1,4,5,1,0,0,2,2,17,9.4,-1
34,34,1999-04-08,38-245,SEA,,POR,W (+1),0,15:17,3,5,.600,1,2,.500,0,0,,0,1,1,0,0,0,0,1,7,4.6,-12
35,35,1999-04-09,38-246,SEA,@,VAN,L (-5),0,27:32,7,12,.583,6,8,.750,0,0,,0,0,0,2,0,0,0,1,20,15.4,-4
36,36,1999-04-11,38-248,SEA,@,LAL,W (+4),0,23:03,1,3,.333,1,2,.500,7,8,.875,1,2,3,0,0,0,1,3,10,7.0,-5
37,37,1999-04-14,38-251,SEA,,PHO,L (-7),0,27:48,2,6,.333,2,4,.500,0,0,,0,2,2,1,2,0,0,3,6,4.7,+6
38,38,1999-04-15,38-252,SEA,@,SAC,W (+1),0,22:21,4,8,.500,3,5,.600,0,0,,2,3,5,0,1,1,3,3,11,6.8,+5
39,39,1999-04-16,38-253,SEA,,NJN,L (-30),0,26:30,2,8,.250,1,6,.167,0,0,,0,1,1,0,1,0,0,0,5,1.5,-23
