Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,TPM,TPA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
59,55,2000-03-18,28-150,CHH,@,IND,L (-14),1,41:52,5,14,.357,1,3,.333,3,3,1.000,2,2,4,4,0,0,2,1,14,8.6,-8
60,56,2000-03-20,28-152,CHH,,PHI,L (-6),1,46:19,9,18,.500,2,6,.333,8,12,.667,0,4,4,4,1,3,6,5,28,16.5,-5
61,57,2000-03-22,28-154,CHH,,NJN,W (+16),1,42:46,9,19,.474,4,6,.667,4,5,.800,1,3,4,7,1,0,1,2,26,21.6,+25
62,58,2000-03-24,28-156,CHH,@,TOR,W (+18),1,42:36,7,15,.467,4,6,.667,7,7,1.000,2,3,5,5,3,2,1,0,25,26.5,+18
63,59,2000-03-25,28-157,CHH,@,ATL,W (+16),1,34:51,10,16,.625,3,6,.500,1,1,1.000,2,0,2,1,1,0,3,1,24,16.5,+14
64,60,2000-03-29,28-161,CHH,@,DET,W (+7),1,32:57,3,10,.300,1,5,.200,2,2,1.000,0,1,1,4,0,0,1,3,9,4.1,+12
65,61,2000-03-31,28-163,CHH,,TOR,W (+9),1,49:40,11,18,.611,4,7,.571,6,7,.857,0,6,6,4,5,0,2,1,32,30.6,+6
66,62,2000-04-01,28-164,CHH,@,CHI,W (+3),1,41:00,7,18,.389,3,7,.429,6,6,1.000,2,4,6,5,5,0,1,1,23,22.9,+5
67,63,2000-04-04,28-167,CHH,,BOS,W (+7),1,44:20,7,10,.700,2,4,.500,9,10,.900,0,5,5,8,3,2,2,3,25,28.7,+10
68,64,2000-04-06,28-169,CHH,@,MIA,L (-6),1,44:40,2,15,.133,0,6,.000,8,9,.889,1,4,5,2,4,0,2,2,12,6.4,-8
69,65,2000-04-07,28-170,CHH,,DET,L (-15),1,26:34,2,8,.250,1,4,.250,1,2,.500,1,5,6,0,2,1,2,2,6,2.9,-18
70,66,2000-04-09,28-172,CHH,,IND,W (+16),1,43:11,5,17,.294,0,5,.000,9,10,.900,3,4,7,5,2,2,1,2,19,17.1,+10
71,67,2000-04-10,28-173,CHH,@,WAS,W (+2),1,43:35,9,15,.600,1,1,1.000,7,7,1.000,1,2,3,2,1,2,2,4,26,20.6,+3
72,68,2000-04-12,28-175,CHH,,ATL,W (+32),1,28:23,3,11,.273,1,4,.250,2,2,1.000,1,2,3,4,3,1,1,1,9,8.9,+11
73,69,2000-04-14,28-177,CHH,@,MIL,W (+3),1,49:48,11,18,.611,7,12,.583,0,0,,1,5,6,3,5,0,1,2,29,28.3,+6
74,70,2000-04-16,28-179,CHH,@,BOS,W (+3),1,25:20,9,14,.643,2,3,.667,5,5,1.000,0,6,6,0,0,1,3,2,25,17.5,-3
75,71,2000-04-18,28-181,CHH,@,CLE,W (+15),1,38:07,6,16,.375,2,8,.250,2,2,1.000,1,2,3,5,3,0,1,2,16,13.2,+27
76,72,2000-04-19,28-182,CHH,,MIA,W (+10),1,37:00,3,8,.375,0,4,.000,8,8,1.000,0,3,3,5,2,0,2,2,14,13.2,0
1,1,2000-11-01,29-012,MIA,,ORL,W (+26),1,29:09,6,9,.667,3,4,.750,2,3,.667,1,6,7,1,3,1,2,3,17,16.4,+30
2,2,2000-11-03,29-014,MIA,@,CHH,L (-4),1,31:23,4,13,.308,1,3,.333,2,2,1.000,2,1,3,3,2,0,3,5,11,4.3,-5
3,3,2000-11-04,29-015,MIA,,PHI,L (-2),1,42:23,10,21,.476,6,9,.667,0,0,,1,2,3,2,1,0,2,2,26,16.2,-7
4,4,2000-11-08,29-019,MIA,,SEA,W (+6),1,37:57,9,15,.600,3,5,.600,4,4,1.000,1,3,4,2,3,0,1,4,25,21.5,+14
5,5,2000-11-10,29-021,MIA,@,UTA,W (+7),1,42:13,5,13,.385,2,6,.333,1,1,1.000,1,2,3,3,1,0,2,0,13,8.3,+9
6,6,2000-11-11,29-022,MIA,@,PHO,L (-2),1,41:33,3,15,.200,0,4,.000,1,3,.333,0,3,3,1,6,2,3,4,7,1.3,-3
7,7,2000-11-14,29-025,MIA,,CHH,W (+3),1,38:20,8,13,.615,2,4,.500,1,2,.500,0,1,1,2,1,2,2,4,19,13.2,0
8,,2000-11-15,29-026,MIA,@,NJN,L (-2),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
9,,2000-11-17,29-028,MIA,@,PHI,L (-21),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
10,,2000-11-18,29-029,MIA,,POR,W (+6),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
11,,2000-11-22,29-033,MIA,,CLE,L (-19),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
12,8,2000-11-24,29-035,MIA,@,CLE,L (-5),1,41:54,7,19,.368,0,4,.000,5,5,1.000,0,0,0,3,5,4,1,4,19,15.8,-3
13,9,2000-11-25,29-036,MIA,,HOU,L (-11),1,43:38,5,12,.417,0,1,.000,8,8,1.000,2,3,5,2,5,0,1,4,18,17.7,-4
14,10,2000-11-28,29-039,MIA,,MIL,L (-1),1,41:47,10,20,.500,2,5,.400,4,4,1.000,1,1,2,1,3,1,2,4,26,17.8,+5
15,11,2000-11-29,29-040,MIA,@,NYK,W (+3),1,36:28,4,16,.250,1,4,.250,6,6,1.000,2,3,5,3,0,1,5,6,15,3.1,+7
16,12,2000-12-01,29-042,MIA,,UTA,L (-2),1,41:39,7,16,.438,1,3,.333,10,11,.909,2,1,3,2,3,1,3,2,25,19.2,-5
17,13,2000-12-02,29-043,MIA,@,WAS,W (+3),1,41:24,7,15,.467,1,3,.333,5,7,.714,2,2,4,3,0,1,0,3,20,15.1,+6
18,14,2000-12-05,29-046,MIA,@,ATL,W (+8),1,28:07,5,9,.556,2,2,1.000,6,6,1.000,1,1,2,0,0,0,1,4,18,12.1,-10
19,15,2000-12-06,29-047,MIA,,DEN,W (+17),1,34:44,5,11,.455,0,2,.000,4,4,1.000,2,3,5,7,0,1,3,1,14,12.8,+11
20,16,2000-12-08,29-049,MIA,,ATL,W (+4),1,38:00,7,13,.538,0,0,,9,10,.900,2,3,5,2,3,1,2,2,23,20.9,+1
21,17,2000-12-10,29-051,MIA,@,SAC,L (-4),1,34:23,8,12,.667,1,2,.500,1,1,1.000,2,1,3,1,2,1,1,6,18,14.5,-3
22,18,2000-12-12,29-053,MIA,@,DEN,W (+11),1,33:17,10,16,.625,3,6,.500,5,6,.833,0,4,4,2,1,0,4,4,28,18.4,+9
23,19,2000-12-13,29-054,MIA,@,LAC,W (+6),1,48:54,8,17,.471,3,5,.600,3,5,.600,0,4,4,2,4,1,0,4,22,18.2,+10
24,20,2000-12-15,29-056,MIA,@,SEA,L (-18),1,34:24,5,16,.313,1,7,.143,3,4,.750,0,1,1,0,0,1,2,1,14,3.0,-17
25,21,2000-12-16,29-057,MIA,@,GSW,W (+8),1,33:05,7,12,.583,1,4,.250,2,2,1.000,0,8,8,3,1,0,1,6,17,13.5,+8
26,22,2000-12-19,29-060,MIA,,LAL,L (-2),1,42:17,5,13,.385,0,2,.000,4,6,.667,1,3,4,3,2,2,2,4,14,9.6,-6
27,23,2000-12-20,29-061,MIA,@,CHH,L (-9),1,40:23,3,16,.188,1,4,.250,0,0,,2,1,3,6,2,0,3,1,7,1.5,-12
28,24,2000-12-22,29-063,MIA,,CLE,W (+8),1,41:16,8,17,.471,3,7,.429,12,12,1.000,2,6,8,3,0,3,3,4,31,25.1,+12
29,25,2000-12-23,29-064,MIA,@,NJN,W (+6),1,43:06,8,15,.533,2,5,.400,13,16,.813,0,5,5,3,3,1,4,5,31,23.8,+1
30,26,2000-12-27,29-068,MIA,,IND,W (+12),1,42:31,8,16,.500,1,3,.333,5,7,.714,1,9,10,7,2,2,4,3,22,19.7,+13
31,27,2000-12-29,29-070,MIA,,WAS,W (+7),1,39:51,12,19,.632,1,4,.250,6,9,.667,1,4,5,2,1,1,0,2,31,25.5,+2
32,28,2000-12-30,29-071,MIA,@,DET,W (+8),1,42:21,10,20,.500,1,5,.200,2,3,.667,0,2,2,5,2,2,1,4,23,17.5,+3
