Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,TPM,TPA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
56,55,1997-02-28,31-188,IND,,MIL,W (+19),1,35:05,8,12,.667,2,4,.500,2,3,.667,0,1,1,4,0,0,0,5,20,15.5,+4
57,56,1997-03-02,31-190,IND,,LAL,W (+16),1,40:11,10,17,.588,4,10,.400,3,6,.500,1,2,3,3,0,0,0,2,27,20.5,+21
58,57,1997-03-04,31-192,IND,,BOS,W (+3),1,43:01,8,20,.400,3,9,.333,10,11,.909,0,6,6,2,2,1,1,2,29,21.9,+6
59,58,1997-03-05,31-193,IND,@,CLE,L (-7),1,40:40,7,15,.467,4,8,.500,7,9,.778,0,4,4,8,0,0,3,2,25,19.5,+4
60,59,1997-03-07,31-195,IND,@,CHI,L (-8),1,39:12,8,22,.364,5,14,.357,6,6,1.000,0,0,0,7,2,0,1,5,27,18.7,-15
61,60,1997-03-08,31-196,IND,,SAS,L (-4),1,40:12,8,14,.571,4,6,.667,1,1,1.000,0,5,5,1,2,0,2,0,21,16.6,+2
62,61,1997-03-12,31-200,IND,,ATL,W (+10),1,35:30,8,16,.500,3,7,.429,6,7,.857,2,2,4,3,1,0,2,6,25,17.3,+5
63,62,1997-03-14,31-202,IND,,UTA,L (-9),1,34:59,5,12,.417,4,9,.444,9,10,.900,0,1,1,2,0,1,3,5,23,13.6,-5
64,63,1997-03-16,31-204,IND,@,MIL,L (-4),1,39:43,4,14,.286,3,9,.333,9,12,.750,0,2,2,4,4,0,1,4,20,15.4,+9
65,64,1997-03-18,31-206,IND,,MIN,W (+18),1,37:46,9,16,.563,3,4,.750,6,6,1.000,0,1,1,2,0,0,1,1,27,19.7,+18
66,65,1997-03-19,31-207,IND,@,ATL,L (-12),1,39:11,6,15,.400,4,7,.571,2,3,.667,0,2,2,2,2,0,3,0,18,10.5,-15
67,66,1997-03-21,31-209,IND,,CHI,L (-19),1,40:49,5,17,.294,2,10,.200,6,6,1.000,2,1,3,6,2,1,2,4,18,13.1,-13
68,67,1997-03-25,31-213,IND,@,TOR,W (+14),1,40:17,8,18,.444,5,11,.455,3,4,.750,1,6,7,1,0,1,4,0,24,14.1,+19
69,68,1997-03-26,31-214,IND,,DAL,W (+24),1,28:09,6,13,.462,2,5,.400,2,3,.667,0,4,4,3,1,0,0,1,16,12.8,+4
70,69,1997-03-28,31-216,IND,@,CHH,W (+1),1,42:24,11,17,.647,8,10,.800,9,10,.900,0,3,3,3,2,0,2,2,39,33.3,+11
71,70,1997-03-30,31-218,IND,,LAC,W (+7),1,45:50,10,23,.435,4,12,.333,4,5,.800,0,4,4,3,1,1,5,1,28,15.1,+7
72,71,1997-04-01,31-220,IND,,WSB,L (-4),1,46:05,9,17,.529,2,7,.286,8,9,.889,1,3,4,5,2,0,2,3,28,23.2,-5
73,72,1997-04-03,31-222,IND,,MIA,L (-14),1,31:19,3,9,.333,1,3,.333,1,2,.500,0,4,4,3,0,0,3,0,8,2.8,-27
74,73,1997-04-04,31-223,IND,@,PHI,W (+11),1,36:05,5,11,.455,4,7,.571,0,0,,0,5,5,2,0,0,1,4,14,8.6,+8
75,74,1997-04-06,31-225,IND,@,MIN,W (+11),1,36:19,5,9,.556,2,2,1.000,4,4,1.000,1,0,1,2,0,0,1,0,16,12.8,+13
76,75,1997-04-09,31-228,IND,,CHI,L (-6),1,37:07,5,15,.333,0,6,.000,3,3,1.000,1,2,3,3,1,1,4,3,13,4.4,-9
77,76,1997-04-11,31-230,IND,,ATL,L (-12),1,28:04,3,7,.429,2,4,.500,5,5,1.000,0,2,2,1,0,0,4,2,13,5.8,-6
78,77,1997-04-12,31-231,IND,@,TOR,W (+11),1,37:06,6,10,.600,3,5,.600,5,6,.833,2,3,5,6,1,1,1,2,20,21.4,+12
79,78,1997-04-14,31-233,IND,,NYK,W (+3),1,43:34,7,18,.389,0,4,.000,10,11,.909,2,2,4,4,0,0,2,5,24,14.6,-1
80,79,1997-04-16,31-235,IND,@,WSB,L (-13),1,35:08,3,13,.231,1,5,.200,3,5,.600,2,1,3,5,1,0,2,3,10,4.3,-14
81,80,1997-04-18,31-237,IND,@,NYK,L (-8),1,38:17,6,17,.353,0,2,.000,7,8,.875,0,4,4,7,1,0,1,2,19,14.4,-13
82,81,1997-04-20,31-239,IND,,DET,L (-4),1,38:53,7,14,.500,5,6,.833,8,8,1.000,1,2,3,4,0,0,4,3,27,18.9,+2
1,1,1997-10-31,32-068,IND,@,NJN,L (-2),1,36:17,10,19,.526,3,7,.429,12,13,.923,0,1,1,0,0,0,5,3,35,19.4,+2
2,2,1997-11-01,32-069,IND,,GSW,W (+13),1,36:49,11,21,.524,3,5,.600,8,9,.889,1,1,2,1,1,0,2,3,33,21.8,+17
3,3,1997-11-04,32-072,IND,@,CLE,L (-3),1,38:08,6,20,.300,1,4,.250,8,10,.800,1,4,5,2,2,0,4,0,21,9.9,+3
4,4,1997-11-05,32-073,IND,@,DET,W (+12),1,21:06,4,8,.500,0,1,.000,6,6,1.000,0,1,1,0,1,0,1,0,14,10.3,+12
5,5,1997-11-07,32-075,IND,,SEA,L (-6),1,38:33,6,17,.353,1,4,.250,9,10,.900,1,4,5,4,0,0,5,4,22,10.2,-14
6,6,1997-11-08,32-076,IND,@,CHH,L (-7),1,35:34,8,17,.471,1,1,1.000,3,3,1.000,0,2,2,1,0,0,3,4,20,8.0,-17
7,7,1997-11-12,32-080,IND,,ATL,L (-3),1,42:53,10,15,.667,4,5,.800,6,6,1.000,3,1,4,5,3,0,1,6,30,29.0,-1
8,8,1997-11-14,32-082,IND,,MIA,W (+4),1,37:26,7,15,.467,0,3,.000,7,7,1.000,2,3,5,4,2,0,2,2,21,17.6,+10
9,9,1997-11-15,32-083,IND,@,TOR,W (+28),1,27:31,3,5,.600,1,3,.333,0,0,,0,4,4,1,2,0,4,2,7,3.8,+7
10,10,1997-11-20,32-088,IND,@,MIL,W (+26),1,26:47,3,6,.500,0,0,,4,4,1.000,0,1,1,3,0,0,0,2,10,8.6,+18
11,11,1997-11-22,32-090,IND,,CHH,L (-1),1,28:06,5,9,.556,0,1,.000,13,13,1.000,0,0,0,2,1,0,2,6,23,16.7,-9
12,12,1997-11-27,32-095,IND,,VAN,W (+21),1,31:29,8,12,.667,4,4,1.000,1,1,1.000,0,0,0,1,1,0,2,2,21,14.7,+26
13,13,1997-11-28,32-096,IND,,CHI,W (+11),1,40:15,9,19,.474,2,6,.333,4,6,.667,0,4,4,5,0,1,3,3,24,14.7,+8
14,14,1997-11-30,32-098,IND,,PHI,W (+12),1,38:11,6,10,.600,3,4,.750,2,2,1.000,0,2,2,2,2,0,3,3,17,12.2,+22
15,15,1997-12-03,32-101,IND,@,MIN,W (+4),1,34:27,11,21,.524,2,9,.222,3,3,1.000,0,1,1,0,1,1,1,0,27,17.7,+2
16,16,1997-12-05,32-103,IND,@,DEN,W (+11),1,35:54,5,12,.417,0,1,.000,9,11,.818,0,4,4,1,1,0,1,0,19,13.7,+18
17,17,1997-12-07,32-105,IND,@,PHO,W (+2),1,40:56,8,20,.400,2,5,.400,1,3,.333,0,4,4,3,1,0,2,3,19,8.5,-4
18,18,1997-12-08,32-106,IND,@,UTA,L (-9),1,23:06,7,11,.636,1,3,.333,1,2,.500,0,0,0,0,0,0,3,2,16,6.9,-3
19,19,1997-12-10,32-108,IND,@,POR,L (-8),1,38:25,4,10,.400,1,3,.333,7,10,.700,0,2,2,0,2,0,1,2,16,10.2,-7
20,20,1997-12-12,32-110,IND,,MIA,W (+15),1,39:11,8,14,.571,4,4,1.000,8,8,1.000,0,0,0,4,0,0,2,2,28,21.4,+18
21,21,1997-12-13,32-111,IND,,WAS,W (+17),1,35:32,6,14,.429,3,4,.750,7,7,1.000,1,2,3,3,1,0,2,0,22,17.0,+11
22,22,1997-12-15,32-113,IND,@,TOR,W (+7),1,32:00,5,12,.417,2,5,.400,10,10,1.000,1,1,2,1,0,0,1,1,22,15.9,+6
23,23,1997-12-17,32-115,IND,,NYK,W (+7),1,36:31,4,12,.333,1,2,.500,5,6,.833,1,3,4,1,0,0,1,2,14,7.3,+6
24,24,1997-12-19,32-117,IND,,DET,W (+8),1,33:36,4,10,.400,1,1,1.000,8,9,.889,0,2,2,4,3,0,1,2,17,15.8,+11
25,25,1997-12-20,32-118,IND,@,ORL,W (+3),1,34:55,3,8,.375,1,2,.500,5,5,1.000,0,3,3,1,0,0,0,1,12,8.8,+4
26,26,1997-12-23,32-121,IND,@,SAS,L (-12),1,34:35,7,13,.538,2,3,.667,9,10,.900,0,3,3,1,1,0,3,2,25,17.1,-10
27,27,1997-12-26,32-124,IND,,ORL,W (+26),1,27:02,4,7,.571,1,3,.333,2,3,.667,1,1,2,2,2,0,1,1,11,10.3,+25
28,28,1997-12-28,32-126,IND,@,MIA,L (-11),1,31:27,3,13,.231,2,4,.500,11,12,.917,1,0,1,0,0,0,1,2,19,9.6,+5
29,29,1997-12-30,32-128,IND,,NJN,W (+18),1,33:59,9,13,.692,1,3,.333,4,4,1.000,0,4,4,6,0,0,0,2,23,22.1,+19
30,30,1998-01-02,32-131,IND,@,WAS,W (+18),1,36:45,6,14,.429,2,7,.286,2,2,1.000,1,5,6,3,0,1,1,1,16,12.2,+6
31,31,1998-01-03,32-132,IND,,TOR,W (+12),1,25:35,5,7,.714,1,1,1.000,2,4,.500,0,0,0,1,2,0,1,1,13,10.6,-1
32,32,1998-01-06,32-135,IND,,PHO,L (-1),1,36:45,3,12,.250,0,0,,9,10,.900,2,2,4,1,2,0,4,4,15,6.5,+2
33,33,1998-01-08,32-137,IND,@,HOU,W (+7),1,29:18,5,12,.417,0,1,.000,4,6,.667,0,1,1,1,1,0,0,0,14,8.8,+4
34,34,1998-01-10,32-139,IND,@,DAL,W (+5),1,37:28,8,16,.500,3,6,.500,5,7,.714,0,4,4,2,2,0,2,2,24,17.0,+20
